City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Siavonga,ZM,-16.5382,28.7088,79.45,74,92,5.17,light rain
1,Hermanus,ZA,-34.4187,19.2345,75.43,73,44,14.81,scattered clouds
2,Karratha,AU,-20.7377,116.8463,82.54,67,14,9.04,few clouds
3,Iranshahr,IR,27.2025,60.6848,52.14,93,100,0.0,light rain
4,Mataura,NZ,-46.1927,168.8643,52.21,98,57,0.56,broken clouds
5,Chuy,UY,-33.6971,-53.4616,80.33,51,11,14.92,few clouds
6,Vaini,TO,-21.2,-175.2,71.76,100,20,0.0,few clouds
7,Port Alfred,ZA,-33.5906,26.891,81.18,84,9,17.76,clear sky
8,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,81,12,10.98,few clouds
9,Pisco,PE,-13.7,-76.2167,71.65,83,40,6.91,mist
10,Mbamba,NG,9.9833,13.1,92.25,13,77,1.92,broken clouds
11,Severo-Kurilsk,RU,50.6789,156.125,16.45,58,100,22.01,light snow
12,Ushuaia,AR,-54.8,-68.3,64.02,76,100,4.12,overcast clouds
13,Bredasdorp,ZA,-34.5322,20.0403,79.99,56,69,18.48,broken clouds
14,Avarua,CK,-21.2078,-159.775,77.05,94,75,16.11,heavy intensity rain
15,Hobart,AU,-42.8794,147.3294,53.46,75,75,13.8,broken clouds
16,Krasnoselkup,RU,65.7,82.4667,-11.52,97,100,16.31,light snow
17,Biak,ID,-0.9131,122.8766,75.51,85,50,4.05,scattered clouds
18,Kieta,PG,-6.2167,155.6333,79.47,86,88,10.13,light rain
19,Buraydah,SA,26.326,43.975,57.65,37,54,7.99,broken clouds
20,Poum,NC,-20.2333,164.0167,78.26,80,100,16.87,overcast clouds
21,Haverfordwest,GB,51.8017,-4.9691,44.58,85,28,5.01,scattered clouds
22,Kavaratti,IN,10.5669,72.642,80.49,74,82,6.35,broken clouds
23,Yellowknife,CA,62.456,-114.3525,9.12,92,40,9.22,scattered clouds
24,General Pico,AR,-35.6566,-63.7568,84.78,39,100,9.24,overcast clouds
25,Barrow,US,71.2906,-156.7887,-5.78,84,100,24.16,haze
26,Bluff,NZ,-46.6,168.3333,56.89,87,42,0.65,scattered clouds
27,Kanniyakumari,IN,8.0833,77.5667,77.25,70,0,21.94,clear sky
28,Turukhansk,RU,65.8167,87.9833,-21.32,80,100,6.62,overcast clouds
29,Sitka,US,57.0531,-135.33,35.49,80,20,10.36,light rain
30,New Norfolk,AU,-42.7826,147.0587,53.1,61,50,3.0,scattered clouds
31,Kodinsk,RU,58.6881,99.1844,-45.94,100,52,2.35,broken clouds
32,Rikitea,PF,-23.1203,-134.9692,77.58,72,60,3.94,broken clouds
33,Dingle,PH,10.9995,122.6711,75.61,93,100,7.43,overcast clouds
34,San Patricio,US,28.017,-97.5169,72.07,82,99,5.84,overcast clouds
35,Georgetown,MY,5.4112,100.3354,82.33,79,20,5.75,few clouds
36,Kapaa,US,22.0752,-159.319,66.52,88,0,5.75,clear sky
37,Tiksi,RU,71.6872,128.8694,-25.74,100,100,3.87,overcast clouds
38,Thompson,CA,55.7435,-97.8558,14.16,92,100,4.61,mist
39,Alugan,PH,12.2188,125.4808,77.81,88,100,10.85,light rain
40,Labuhan,ID,-6.8844,112.2051,77.07,88,100,2.91,heavy intensity rain
41,Pirgos,GR,35.1167,25.7178,62.62,72,2,16.22,clear sky
42,Havre,FR,49.5833,0.3333,39.2,93,100,8.05,snow
43,Leningradskiy,RU,69.3833,178.4167,-18.27,94,100,21.3,light snow
44,Puerto Ayora,EC,-0.7393,-90.3518,82.36,92,97,5.99,overcast clouds
45,Moose Factory,CA,51.2585,-80.6094,14.0,85,100,8.05,overcast clouds
46,Williston,US,48.147,-103.618,20.14,99,83,3.53,broken clouds
47,Punta Arenas,CL,-53.15,-70.9167,66.31,52,0,25.32,clear sky
48,Padang,ID,-0.9492,100.3543,75.25,88,100,4.07,overcast clouds
49,Merauke,ID,-8.4667,140.3333,81.52,82,100,14.99,overcast clouds
50,Koutiala,ML,12.3917,-5.4642,91.85,8,4,8.37,clear sky
51,Coro,VE,11.4045,-69.6734,82.62,60,35,12.95,scattered clouds
52,Tasiilaq,GL,65.6145,-37.6368,8.76,70,52,5.53,broken clouds
53,Longyearbyen,SJ,78.2186,15.6401,8.44,72,0,10.36,clear sky
54,Vardo,NO,70.3705,31.1107,33.78,75,73,14.97,broken clouds
55,Lagoa,PT,39.05,-27.9833,55.47,67,1,6.62,clear sky
56,Ilulissat,GL,69.2167,-51.1,-29.25,70,2,7.23,clear sky
57,Lebu,CL,-37.6167,-73.65,65.05,67,26,8.63,scattered clouds
58,Kodiak,US,57.79,-152.4072,20.71,86,0,4.61,clear sky
59,Saint-Philippe,RE,-21.3585,55.7679,80.19,90,100,15.39,light rain
60,Jinka,ET,5.65,36.65,81.68,24,60,4.18,broken clouds
61,Cape Town,ZA,-33.9258,18.4232,84.11,71,20,13.8,few clouds
62,Ribeira Grande,PT,38.5167,-28.7,61.2,67,40,5.75,scattered clouds
63,Hithadhoo,MV,-0.6,73.0833,81.84,67,11,8.72,few clouds
64,Atuona,PF,-9.8,-139.0333,77.05,81,52,19.6,light rain
65,Albany,US,42.6001,-73.9662,42.67,90,100,1.01,overcast clouds
66,Parfino,RU,57.9731,31.6481,36.18,98,100,12.53,overcast clouds
67,Pevek,RU,69.7008,170.3133,-34.87,100,100,4.18,overcast clouds
68,Luderitz,NA,-26.6481,15.1594,72.34,73,71,13.06,broken clouds
69,Naze,JP,28.3667,129.4833,56.32,66,98,10.22,overcast clouds
70,Lantawan,PH,10.6167,123.9833,78.49,91,98,4.63,overcast clouds
71,Jamestown,US,42.097,-79.2353,37.02,75,100,12.66,mist
72,Mount Isa,AU,-20.7333,139.5,80.37,57,35,5.75,light rain
73,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,60,75,23.02,broken clouds
74,Arethousa,GR,40.7435,23.5898,62.28,56,70,7.52,broken clouds
75,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.97,85,100,2.39,light rain
76,Avila,ES,40.5833,-5.0,35.65,89,92,18.43,overcast clouds
77,North Bend,US,43.4065,-124.2243,49.86,93,100,11.5,overcast clouds
78,Tabuk,PH,17.4189,121.4443,68.59,90,90,4.65,overcast clouds
79,Souillac,MU,-20.5167,57.5167,80.98,83,75,18.41,light rain
80,Marienburg,PL,54.0359,19.0266,38.84,85,100,8.77,light rain
81,Lavrentiya,RU,65.5833,-171.0,-22.97,93,34,7.63,scattered clouds
82,Cardenas,CU,23.0375,-81.2047,74.16,62,0,10.87,clear sky
83,Armidale,AU,-30.5167,151.65,56.23,79,1,4.54,clear sky
84,Krutikha,RU,53.9599,81.2093,5.11,95,100,5.99,overcast clouds
85,Nikolskoye,RU,59.7035,30.7861,35.8,98,100,7.23,overcast clouds
86,Chenzhou,CN,25.8,113.0333,43.38,62,36,1.43,scattered clouds
87,Taltal,CL,-25.4,-70.4833,72.55,68,0,8.7,clear sky
88,Talnakh,RU,69.4865,88.3972,-21.8,83,100,7.34,overcast clouds
89,Busselton,AU,-33.65,115.3333,66.63,51,45,19.08,scattered clouds
90,Cockburn Town,TC,21.4612,-71.1419,76.23,55,55,13.04,broken clouds
91,Rabagani,RO,46.75,22.2333,46.27,85,33,2.98,scattered clouds
92,Maniitsoq,GL,65.4167,-52.9,7.77,56,100,7.2,overcast clouds
93,Boyolangu,ID,-8.1181,111.8935,76.71,88,98,1.77,light rain
94,Riyadh,SA,24.6877,46.7219,57.34,44,3,8.79,clear sky
95,Kavieng,PG,-2.5744,150.7967,82.33,73,100,9.04,overcast clouds
96,Teofilo Otoni,BR,-17.8575,-41.5053,80.91,68,71,3.85,broken clouds
97,Alofi,NU,-19.0595,-169.9187,76.89,100,42,5.75,light rain
98,Cervantes,AR,-39.05,-67.3833,85.57,37,39,14.29,scattered clouds
99,Djibo,BF,14.1022,-1.6306,88.36,9,16,9.37,few clouds
100,Lasa,IT,46.6166,10.7002,33.37,89,86,2.75,overcast clouds
101,Upernavik,GL,72.7868,-56.1549,-11.24,90,100,4.38,overcast clouds
102,Armacao De Pera,PT,37.1026,-8.357,59.09,53,57,18.7,broken clouds
103,Teya,RU,60.3778,92.6267,-38.96,100,68,3.31,broken clouds
104,Gidole,ET,5.65,37.3667,75.09,20,65,3.62,broken clouds
105,Provideniya,RU,64.3833,-173.3,-19.3,90,11,8.23,few clouds
106,Awjilah,LY,29.1081,21.2869,68.72,25,0,5.97,clear sky
107,Belaguntha,IN,19.8833,84.65,69.76,87,14,0.89,few clouds
108,Saint-Pierre,RE,-21.3393,55.4781,83.57,78,75,27.63,light rain
109,Guerrero Negro,MX,27.9769,-114.0611,55.51,64,86,12.44,overcast clouds
110,Qaanaaq,GL,77.484,-69.3632,-21.24,93,99,5.44,overcast clouds
111,Tilichiki,RU,60.4667,166.1,-6.84,95,100,8.48,overcast clouds
112,Bud,US,39.447,-86.1758,37.9,87,100,3.42,overcast clouds
113,Cabo San Lucas,MX,22.8909,-109.9124,66.51,86,0,0.0,clear sky
114,Geraldton,AU,-28.7667,114.6,72.01,78,95,13.8,overcast clouds
115,Butaritari,KI,3.0707,172.7902,81.86,74,95,14.81,overcast clouds
116,Kaitangata,NZ,-46.2817,169.8464,54.5,97,66,3.62,broken clouds
117,Montpellier,FR,43.6109,3.8772,47.68,45,0,20.71,clear sky
118,Norman Wells,CA,65.282,-126.8329,-3.96,77,100,6.91,overcast clouds
119,Phuket,TH,8.0,98.25,84.09,94,75,4.61,broken clouds
120,Nioro,GM,13.35,-15.75,99.0,7,44,12.1,scattered clouds
121,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,83.39,64,16,3.78,few clouds
122,Xingyi,CN,24.1877,102.817,41.14,95,0,4.72,clear sky
123,Bethel,US,41.3712,-73.414,49.01,68,75,14.97,broken clouds
124,Waipawa,NZ,-41.4122,175.5153,53.96,95,18,3.51,few clouds
125,Tiarei,PF,-17.5333,-149.3333,75.22,70,51,12.95,broken clouds
126,Coquimbo,CL,-29.9533,-71.3436,67.73,68,40,12.66,scattered clouds
127,Tuatapere,NZ,-46.1333,167.6833,53.82,95,41,3.06,scattered clouds
128,Evanston,US,42.0411,-87.6901,38.88,80,100,6.91,overcast clouds
129,Nuuk,GL,64.1835,-51.7216,18.21,62,100,1.14,overcast clouds
130,Hellin,ES,38.5106,-1.701,46.74,37,35,28.97,scattered clouds
131,San Cristobal,VE,7.7669,-72.225,73.58,46,17,4.5,few clouds
132,Pedro Ii,BR,-4.4247,-41.4586,88.14,36,63,8.86,broken clouds
133,Cidreira,BR,-30.1811,-50.2056,74.21,88,100,13.4,overcast clouds
134,Severo-Yeniseyskiy,RU,60.3725,93.0408,-39.42,100,64,3.8,broken clouds
135,Macamic,CA,48.7502,-78.9996,23.2,93,100,9.6,overcast clouds
136,Flinders,AU,-34.5833,150.8552,71.19,91,100,1.99,light rain
137,Strezhevoy,RU,60.7333,77.5889,-1.84,100,92,4.92,overcast clouds
138,Kalamnuri,IN,19.6667,77.3333,74.21,35,5,3.29,clear sky
139,Mar Del Plata,AR,-38.0023,-57.5575,81.82,84,40,17.27,scattered clouds
140,Jiaxing,CN,30.7522,120.75,44.02,56,0,2.53,clear sky
141,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,100,6.91,light snow
142,Sylacauga,US,33.1732,-86.2516,61.16,100,100,3.44,overcast clouds
143,Bestobe,KZ,52.4994,73.0975,6.21,75,27,9.62,scattered clouds
144,Upata,VE,8.0086,-62.3989,82.51,48,16,6.35,few clouds
145,Hanyang,CN,32.1371,105.5126,34.97,51,55,1.99,broken clouds
146,Kaoma,ZM,-14.7833,24.8,74.41,76,76,4.25,light rain
147,Matagami,CA,49.7502,-77.6328,21.31,93,100,17.27,light snow
148,Sechura,PE,-5.5569,-80.8222,78.19,51,81,6.98,broken clouds
149,Iskateley,RU,67.6803,53.1512,15.22,94,97,12.5,overcast clouds
150,Oriximina,BR,-1.7656,-55.8661,71.74,98,100,1.63,overcast clouds
151,Hilo,US,19.7297,-155.09,70.25,85,0,8.05,clear sky
152,Ambon,ID,-3.6954,128.1814,78.94,89,20,3.44,few clouds
153,Codrington,AU,-38.2667,141.9667,56.71,51,97,13.49,overcast clouds
154,Mahebourg,MU,-20.4081,57.7,80.89,83,75,18.41,light rain
155,Castro,BR,-24.7911,-50.0119,78.15,62,100,2.1,overcast clouds
156,Yulara,AU,-25.2406,130.9889,83.08,41,18,20.4,few clouds
157,Lompoc,US,34.6391,-120.4579,45.93,89,0,0.0,clear sky
158,Moa,CU,20.6569,-74.9403,78.44,55,5,11.01,clear sky
159,Turayf,SA,31.6725,38.6637,55.65,41,0,4.61,clear sky
160,Guangyuan,CN,32.442,105.823,39.49,46,93,1.21,overcast clouds
161,Monterey,US,36.2505,-121.2516,36.18,1,71,1.48,broken clouds
162,Saskylakh,RU,71.9167,114.0833,-31.07,100,87,5.59,overcast clouds
163,Isangel,VU,-19.55,169.2667,73.51,100,100,2.3,moderate rain
164,Olafsvik,IS,64.8945,-23.7142,23.2,73,34,8.88,scattered clouds
165,Arawa,PG,-6.2132,155.5367,77.7,92,96,5.73,light rain
166,Mehamn,NO,71.0357,27.8492,31.91,58,91,6.91,overcast clouds
167,Paciran,ID,-6.8767,112.3761,76.64,90,100,4.07,heavy intensity rain
168,Meulaboh,ID,4.1363,96.1285,75.51,83,100,4.03,overcast clouds
169,Salalah,OM,17.0151,54.0924,77.09,65,20,4.61,few clouds
170,Trat,TH,12.5,102.5,72.91,67,82,5.32,broken clouds
171,Evensk,RU,61.95,159.2333,-4.18,74,100,10.31,overcast clouds
172,Pathein,MM,16.7833,94.7333,67.64,71,77,6.91,broken clouds
173,Bengkulu,ID,-3.8004,102.2655,75.58,90,100,4.27,light rain
174,Arman,RU,59.7,150.1667,-12.1,80,100,13.51,overcast clouds
175,San Miguel,SV,13.4833,-88.1833,81.46,50,8,1.34,clear sky
176,Palora,EC,-1.7,-77.9333,69.91,87,83,1.05,light rain
177,Kamina,CD,-8.7386,24.9906,72.3,71,86,0.98,overcast clouds
178,Fayaoue,NC,-20.65,166.5333,77.05,77,100,27.67,moderate rain
179,Teguise,ES,29.0605,-13.564,66.42,52,20,19.57,few clouds
180,Saldanha,ZA,-33.0117,17.9442,78.85,79,84,10.49,broken clouds
181,Anadyr,RU,64.75,177.4833,-23.3,69,0,8.95,clear sky
182,Buala,SB,-8.145,159.5921,79.92,83,100,10.22,moderate rain
183,La Baule-Escoublac,FR,47.2922,-2.364,41.72,88,0,6.91,clear sky
184,Jinchang,CN,38.4953,102.1739,18.28,41,0,7.56,clear sky
185,Baykit,RU,61.67,96.37,-43.94,100,45,1.59,scattered clouds
186,Abong Mbang,CM,3.9833,13.1833,92.68,17,100,3.53,overcast clouds
187,Odessa,UA,46.4775,30.7326,47.71,87,44,21.43,scattered clouds
188,Soure,BR,-0.7167,-48.5233,75.25,92,100,8.37,overcast clouds
189,Khasan,RU,42.4308,130.6434,22.41,92,97,4.12,light snow
190,Kloulklubed,PW,7.0419,134.2556,77.5,77,100,15.41,overcast clouds
191,Buluang,PH,13.3068,123.3425,75.65,92,100,4.99,moderate rain
192,Atar,MR,20.5169,-13.0499,82.45,20,100,11.5,overcast clouds
193,Chokurdakh,RU,70.6333,147.9167,-32.3,100,91,5.59,overcast clouds
194,Chake Chake,TZ,-5.2459,39.7666,81.7,68,100,11.48,overcast clouds
195,Sabha,LY,27.0377,14.4283,71.37,12,0,10.22,clear sky
196,Wakkanai,JP,45.4094,141.6739,19.51,65,100,11.03,overcast clouds
197,Beringovskiy,RU,63.05,179.3167,-23.35,93,27,8.63,scattered clouds
198,Taitung,TW,22.7583,121.1444,63.63,81,74,11.07,broken clouds
199,Taoudenni,ML,22.6783,-3.9836,81.19,11,83,9.93,broken clouds
200,Victoria,HK,22.2855,114.1577,60.24,65,22,5.99,few clouds
201,San Pedro,PH,14.35,121.0167,78.35,79,40,1.14,scattered clouds
202,Kudahuvadhoo,MV,2.6708,72.8944,81.16,80,69,13.76,broken clouds
203,Mabaruma,GY,8.2,-59.7833,78.67,78,19,4.54,few clouds
204,Port Elizabeth,ZA,-33.918,25.5701,88.11,81,40,6.91,scattered clouds
205,Lucapa,AO,-8.4192,20.7447,75.13,70,92,3.78,overcast clouds
206,Fort Nelson,CA,58.8053,-122.7002,4.59,93,100,0.0,mist
207,Whyalla,AU,-33.0333,137.5833,62.38,65,8,24.38,clear sky
208,Goroka,PG,-6.0834,145.3873,60.42,99,100,2.75,overcast clouds
209,Bafoulabe,ML,13.8065,-10.8321,96.19,7,3,7.85,clear sky
210,Sompeta,IN,18.9333,84.6,72.18,85,74,7.54,broken clouds
211,Bubaque,GW,11.2833,-15.8333,78.3,55,0,10.94,clear sky
212,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,75,18.41,light rain
213,Esperance,AU,-33.8667,121.9,60.37,69,100,18.03,overcast clouds
214,Homer,US,59.6425,-151.5483,32.81,93,100,11.99,snow
215,Shakawe,BW,-18.3667,21.85,82.98,49,100,4.12,overcast clouds
216,Touros,BR,-5.1989,-35.4608,84.15,65,88,13.67,overcast clouds
217,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,70,0,20.71,clear sky
218,Port-Gentil,GA,-0.7193,8.7815,82.36,78,75,2.3,thunderstorm
219,Klyuchi,RU,52.2667,79.1667,-0.22,91,71,6.71,broken clouds
220,Bitung,ID,1.4451,125.1824,77.85,85,100,8.86,overcast clouds
221,Chon Daen,TH,16.1895,100.8596,76.19,56,12,4.43,few clouds
222,Salinopolis,BR,-0.6136,-47.3561,74.08,95,100,5.66,light rain
223,Airai,TL,-8.9266,125.4092,61.54,93,80,1.92,moderate rain
224,Hami,CN,42.8,93.45,15.26,45,0,2.66,clear sky
225,Eydhafushi,MV,5.1033,73.0708,80.38,80,27,17.45,scattered clouds
226,Walvis Bay,NA,-22.9575,14.5053,79.75,53,0,12.66,clear sky
227,Khatanga,RU,71.9667,102.5,-21.6,97,96,6.33,overcast clouds
228,Gamba,GA,-2.65,10.0,80.33,81,99,7.9,moderate rain
229,Cherskiy,RU,68.75,161.3,-48.12,99,85,4.92,overcast clouds
230,Samarai,PG,-10.6167,150.6667,80.89,80,100,10.2,overcast clouds
231,Klaksvik,FO,62.2266,-6.589,34.72,60,93,26.4,light snow
232,Sobolevo,RU,54.4299,31.8996,37.17,99,100,19.8,overcast clouds
233,Namibe,AO,-15.1961,12.1522,76.08,70,100,11.68,overcast clouds
234,Kawalu,ID,-7.3817,108.2082,72.97,95,100,0.74,moderate rain
235,Fairbanks,US,64.8378,-147.7164,-16.26,77,0,0.0,clear sky
236,Humberto De Campos,BR,-2.5983,-43.4611,88.92,52,62,8.97,broken clouds
